,0
CCCC(CCC)CCC,31
CCCCCCCCCC,31
CCCCN(C)CCCC,30
CCCCCCCNCC,30
CCCCCCCCCN,30
CCCCCCCCNC,30
CCCCCCCN(C)C,30
CCCCNCC(C)(C)C,30
CCCCCN(CC)CC,30
CCCN(CCC)CCC,30
CCNC(CC)(CC)CC,30
CCCCN(CC)CCC,30
CCCCCNCCCC,30
CC(C)(C)CNC(C)(C)C,30
CCCCCCOCCC,29
CCCCCNCCCN,29
CCCNCCCNCC,29
CN(C)CCNC(C)(C)C,29
CCCC(CC)(CC)CC,29
CCN(CC)N(CC)CC,29
CCCCN(CN)CCC,29
CNCCCCCCCN,29
CCCN(CCC)NCC,29
CCCN(CCC)CCN,29
CCCCN(N)CCCC,29
CN(C)N(C)CC(C)(C)C,29
CCNCCNC(C)(C)C,29
CCCCCNCCNC,29
CCCCCCCOCC,29
CN(C)CCCCCCN,29
CCNCCCCNCC,29
CC(C)(C)NCCCCN,29
CN(C)CCCCN(C)C,29
CCNCCCCCCN,29
CCCN(C)N(C)CCC,29
CCCNCCCN(C)C,29
CNCCCCCCNC,29
CCN(C)CCN(C)CC,29
CCNCCN(CC)CC,29
CCCCNCCNCC,29
CCCCCOC(C)(C)C,29
CCCCCCCCNN,29
CCCNCCNCCC,29
CCN(CC)CCCCN,29
CCN(CC)CCCNC,29
NCCCCCCCCN,29
CCN(CC)CCN(C)C,29
C=C(CCC)CCCCC,28
CCCCCCNCCN,28
CNCCCNCCCN,28
CNCCNCCN(C)C,28
CCNCCCCCCO,28
CCN(CC)CCCCO,28
CCCCCCCCNO,28
CC(C)(C)/C=C/C(C)(C)C,28
NCCCCCCCCO,28
CCOCCN(CC)CC,28
CC/C=C(\CC)CCCC,28
CCCCCNCCCO,28
C=C(C(C)(C)C)C(C)(C)C,28
CN(CCCN)C(C)(C)C,28
CC/C=C/CCCCCC,28
CN(C)CCCCCCO,28
CCC/C=C/CCCCC,28
CCCN(CCC)CCO,28
CCCCN(CC)CCO,28
CCCCC=C(CC)CC,28
COCCCCCN(C)C,28
CCC=C(CCC)CCC,28
C=C(CCCC)C(C)(C)C,28
CNCCCCCCCO,28
CC(C)(C)N(O)C(C)(C)C,28
CCCN(CC)CCOC,28
CN(C)CCOC(C)(C)C,28
COCCNCC(C)(C)C,28
CC(C)=C(C)CC(C)(C)C,28
CCCC/C=C/CCCC,28
CNCCN(C)CCNC,28
CCCCCC(C)=C(C)C,28
CC/C=C(\CC)C(C)(C)C,28
CCCCN(O)CCCC,28
CCN(CC)CCCNN,28
CCCCNCCCCO,28
CN(C)CCN(C)CCN,28
CCCNCCNCCN,28
CCCCOCCN(C)C,28
CN(C)CCCNCCN,28
CCCCCCCCC,28
CCC(CC)=C(CC)CC,28
CCN(CC)CCN(C)N,28
C=C(CC)CCCCCC,28
CCCCC/C=C(\C)CC,28
CN(N)CCCC(C)(C)C,28
C=C(C)CCCCCCC,28
CCN(CC)NCCCN,28
CCCCN(C)CCNN,28
CCCCCCC(C)(C)C,28
C=C(CCCC)CCCC,28
CCCCCCCCCO,28
C=CCCCCCCCC,28
CCCCOCCOCC,27
CCCCCC/C(C)=N/C,27
C=CCN(CCC)CCC,27
CCN(CC)CN(C)OC,27
C=C(C)CN(C)CCCC,27
CCOCCCCOCC,27
CC(C)(C)/C=N/C(C)(C)C,27
CCC/C=C/N(CC)CC,27
CC/C=C/CCCN(C)C,27
CCCCN(CC)CC,27
CCCCCCN(C)C,27
C/C=C(\C)CCCCCC,27
CCCCCOCCCC,27
CNCCCNCCCO,27
CC(C)(C)CCCCCO,27
CN(C)C(N(C)C)N(C)C,27
NCCCCCNCCN,27
CCCCOOC(C)(C)C,27
CCC(CC)(CC)NC,27
CCCC/C=C\C(C)(C)C,27
CCCCCCC=C(C)C,27
CCN(CCO)CCCN,27
CCOCCCCCOC,27
CCCOCCCCNN,27
CCCCCCCNC,27
NCCCCNCCCO,27
CNCCCNCCOC,27
CCCN(CC)CCC,27
CCCCCCCCON,27
CCCCCCCCOO,27
CCN(C)CCNCCO,27
COCCCCCCNN,27
C=C(C)CN(CC)CCC,27
CCC[C@H](CC)C(C)(C)C,27
CCN(CCN)CCOC,27
CC(C)(C)OOC(C)(C)C,27
CC(C)(C)C(=N)C(C)(C)C,27
CCN(CCN)CCCO,27
CCCCN(C)CCC,27
CCCCCCCCN,27
CCCCC(CC)=C(C)C,27
NCCCNCCCCO,27
CCNCCC(C)(C)C,27
CCCCOOCCCC,27
CC(C)=CCNC(C)(C)C,27
CCCCN=C(CC)CC,27
CCN(C)CC(C)(C)C,27
CCCCNCCCC,27
CCCCCCNCC,27
CCCCCCN=C(C)C,27
CCCCNC(C)(C)C,27
CN(CCO)CCCCN,27
CCC[C@H](C)CC(C)(C)C,27
C=C(C)CCN(CC)CC,27
CCCCCCOCOC,27
CN(C)CCCNCCO,27
CC(C)(C)NC(C)(C)C,27
CCCCC(=N)CCCC,27
CCCC[C@H](C)C(C)(C)C,27
NCCCCNCCCN,27
CNCCOCCN(C)C,27
CCCC(CCC)=NCC,27
CCCNCCC(C)(C)C,27
CCCOCCCOCC,27
COCCNCCN(C)C,27
CC(C)(C)OCCCCO,27
CCC/C=C(\C)CCCC,27
CN(C)NCC(C)(C)C,26
CCCC[C@H](CC)CNC,26
CC(C)(CCN)CCN,26
CCOC/C=C/C(C)(C)C,26
CON(C)CN(C)N(C)C,26
CCCCCC(=O)CCC,26
CN(C)N(C)C(C)(C)C,26
CCCCCCC/C=N/C,26
NCCCOCCCCO,26
CCC/C(CC)=N/N(C)C,26
CCCCCCCCO,26
CCOCCC(C)(C)C,26
CCC/C=N/NC(C)(C)C,26
CCCC/C(CCC)=N/C,26
CNCC(C)(C)CNC,26
CCCCC/C=C/COC,26
CCCCCCCC(=N)N,26
CC(C)(C)NCCCN,26
C=C(CCCCCC)OC,26
CCCN(C)CCNC,26
CCCCC(=O)C(C)(C)C,26
CCN(C)CCCCN,26
C/C(=C(\C)N(C)C)N(C)C,26
CNCCNC(C)(C)C,26
CCCCCCCOC,26
C=CCOCCCCCC,26
CCCCOC(C)(C)C,26
CCCCCCCCC=O,26
COCCOCCCCN,26
CCCCC/C=C(/C)OC,26
CCC(CC)(CN)CN,26
CCN(C)CCN(C)C,26
CCCN(CCO)CCO,26
C=CCCCCCCCO,26
CCCCCC/C=C/CO,26
NCCCCCCCN,26
CC/C=C/CCCCCO,26
CCCCCCCCOC,26
CCNCCOCCOC,26
C=C(CO)CCCCCC,26
COCCCNCCOC,26
CN(C)CCNCCCN,26
C#CCCCCCCCC,26
CCCCC/C=C/OCC,26
C=CCCCOC(C)(C)C,26
CCCCC[C@H](C)NCC,26
CCONCCNCCN,26
CCNCCN(C)CC,26
CC(C)(C)C(=O)C(C)(C)C,26
CCCCC/C=C/CCO,26
CCCC(=CCO)CCC,26
CCCCC(=O)CCCC,26
CNCCCC(C)(C)C,26
CCCCCCOCCO,26
CN(C)CCCCCN,26
CCCCCCOCC,26
CNCCCCCNC,26
CCCCNCCCN,26
CCCCN(C)CCCN,26
CCC/C=C/CCOCC,26
CCNCCCN(C)C,26
CNCCCCCCN,26
CCN(CC)CCNC,26
CCCCCNCCC,26
CCCCC#CCCCC,26
CCCCCC(C)(C)C,26
CN(CCN)C(C)(C)C,26
CCCCCCN(C)N,26
CCCNCNCCC,26
NCCN(CCN)CCO,26
CC/C=C/OCCCCC,26
CCCCN(C)N(C)C,26
C/C=C/CCOCCCC,26
CCN(CCO)CCCO,26
CCCC/C=N/CCCC,26
C=CCCCOCCCC,26
CCCC/C=C/CCCO,26
CCCCC[C@H](C)CCC,26
CC/C(C)=N\N(CC)CC,26
CN(CCCO)CCCO,26
CNCCCCN(C)C,26
CCCCOCCCC,26
CCN(CC)CC=C(C)C,26
C[C@H](CN(C)C)C(C)(C)C,26
CCCNCCCNC,26
CCN(C)CCCNC,26
CCOCCOC(C)(C)C,26
COCCCC(C)(C)C,26
CCCCCNN(C)C,26
CN(C)C/C=C/CN(C)C,26
CCCC/N=N/CCCC,26
CCCCNC/C=C/CN,26
CCC(=O)CCC(C)(C)C,26
CCNC/C=C/CNCC,26
CC(C)(C)CCCCC=O,26
CCN(C)N(CC)CC,26
CCCC/C=C/COCC,26
COCCCN(C)CCN,26
CC(C)(C)C#CC(C)(C)C,26
CCCCCC[C@H](C)NC,26
COCCN(C)CCOC,26
CCCCCCCNN,26
CC[C@H](C)CCC(C)(C)C,26
CC(C)(C)CC(C)(C)C,26
CCCCCCCNO,25
CCN(CC)CCC(C)=O,25
CNCCOC(C)(C)C,25
CC(C)(C)CCCCN,25
NC/C=C/CNCCCN,25
CNCCNCCNC,25
CCC(C)(CC)CC,25
C=C(C)CCCCCC,25
CCCCCC(=N)OCC,25
CCCC(C)(C)C(C)(C)C,25
C/C=C/CCCC/C=C/C,25
CCC(CC)(CC)[C@H](C)O,25
CCCCCOCCOC,25
CCCNCCCCN,25
OCCNCCNCCO,25
CCCCN(C)CCO,25
CCCCCC/C(C)=N/N,25
COCCN(N)CCOC,25
CC(=O)CCCCN(C)C,25
CN(C)CCNCCN,25
CCCCCNC(C)(C)C,25
CCN(CC)CCC(=N)N,25
CCCCN(C)C[C@H](C)N,25
CCC[C@H](O)CC(C)(C)C,25
CCCCC(C)=C(C)C,25
CCCN(O)C(C)(C)C,25
C=COCCN(CC)CC,25
CCCCCCCC(O)O,25
CCC(=O)CNC(C)(C)C,25
CC/C=C/CCCCC,25
CCC/C=C/C(C)(C)C,25
CC/C=C/C/C=C/CCC,25
NCCCCCCCO,25
CCCC/C=C(\C)CC,25
CCN(CC)C/C=C\CO,25
CC[C@H](C)NN(CC)CC,25
CC(C)=CCCCCCO,25
CN(C)CCCCCO,25
CCCCCC(O)(O)CC,25
CCCC[C@H](O)C(C)(C)C,25
CCCCNCCOC,25
CCCNCCOCC,25
NCCN(CCO)CCO,25
CCN(CC)C(=N)N(C)C,25
COCCCNCCCN,25
CCCCCCNN(C)C,25
CCCCCCC/C=N/O,25
C=CCC/C=C/CCCC,25
CC[C@H](N)CN(CC)CC,25
CCC/C=C/CCCC,25
CC[C@H](CN)N(CC)CC,25
CCCC(CO)(CO)CO,25
CCCN(C)CCOC,25
CN(C)N(CCO)CCO,25
CC/C(C)=N/NC(C)(C)C,25
CCCCC[C@](C)(O)CC,25
CCC[C@](C)(O)C(C)(C)C,25
C/C=C/CCC(C)(C)C,25
CCN(CC)CC[C@H](C)N,25
CCN(CC)CCOC,25
CCC/C=C(\C)CCC,25
CC(=O)NCCC(C)(C)C,25
CCN(CC)CCNN,25
C=CCCCC(C)(C)C,25
CCCCO[C@H](C)CCC,25
CCCCOC[C@H](C)CC,25
CNCCCCCCO,25
CCCOCCN(C)C,25
CCNCCCCCN,25
C=C(CCC)CCCC,25
CC[C@](C)(O)CC(C)(C)C,25
CNNCCCN(C)C,25
CCC/C=C\CCCCO,25
OCCC(CCO)CCO,25
CCCCC[C@H](CC)CO,25
CC/C=C(\CC)CCC,25
COCCCCN(C)C,25
NCCCCNCCN,25
C/C=C/CCCCCCO,25
C/C=C/COCCCCC,25
CCCCCCN=C(N)N,25
CCCCOCCCN,25
CCOCCCCCCO,25
CCCCCCN(C)O,25
C=C(O)CCCCCCC,25
CCC/C=C/C=C/CCC,25
CCCCCN[C@H](C)CC,25
CCCCCCCC,25
C=C(CC)CCCCC,25
CCC(CN)(CN)CN,25
CCN(CC)CCCO,25
C[C@H](N)CCCCCCN,25
CCN(C)CCCC(C)=O,25
COCCNC(C)(C)C,25
CCCN(CCC)C(C)=O,25
CCOCCOCCNC,25
CNCCN(C)CCN,25
C#CCN(CCC)CCC,25
CCCCN(NC)NC,25
CCNCCCOCC,25
CCCCCC/C(C)=N/O,25
CCC(CC)(CC)C(C)C,25
C=C(C)CCCCC(=C)C,25
C=CCCCCCCC=C,25
CCCC=C(CC)CC,25
CN(C)CC(=O)C(C)(C)C,25
CCCOCCOCCC,25
CCCCC/C(CC)=N/O,25
CCCC/C(CCC)=N/O,25
CCN(CCN)CCN,25
C#CCCCN(CC)CC,25
CCOCOCCCCO,25
CCCCC(C)(C)C,25
OCCCCCCCCO,25
CCCCNCCCO,25
C=CCCCCCCC,25
CCCCN(C)CCN,25
CN(C)CCOCN(C)C,25
C=C(CC)CCC=C(C)C,25
CC(C)(C)C(C)(C)C,25
CC(C)=C(C)C(C)(C)C,25
CCCCNNCCCC,25
CCCCCCC[C@H](C)O,25
CCC(=O)CN(CC)CC,25
CCCCCC[C@H](C)OC,25
CCNCCNCCN,25
CCNCC[C@H](C)NCC,25
CCCCCCCC(C)C,25
C=C(C)CCC(C)(C)C,25
CC(C)CCCC(C)(C)C,25
CC(C)(C)CCCCO,25
C=C(OCC)N(CC)CC,25
CC(C)(C)NCCCO,25
CCCC[C@H](CC)CCC,25
CC(C)(C)/N=C/CCCO,25
CNCCOCCCOC,25
CCOCCOCCCO,25
CCCCC/C(C)=N\OC,25
CCCCCCCN,24
COCN(COC)COC,24
C/C=C(\CC)N(C)CC,24
CCC(=O)NCCN(C)C,24
CCCCNCCNC,24
CCN(CC)CN(C)O,24
C/C=C/C=C/CCCCC,24
CNC(=O)CCCCCN,24
CCCCOCCOC,24
C[C@H](O)CCCCN(C)C,24
COCCCNCCN,24
CCCCN[C@H](CC)CO,24
C=C(C)CN(C)CCC,24
CCCC[C@](C)(CC)CO,24
CC(=O)NCCCN(C)C,24
CN(C)CC#CCN(C)C,24
C=C(C)CCN(C)CC,24
NCCNCCCCO,24
CCCC/N=C(\CC)NO,24
CCOCCCCCC=O,24
C=COCCCCCCC,24
CC(C)=C(N(C)C)N(C)C,24
CNCCCCC(=O)NC,24
C/C=C(\C)CC(C)(C)C,24
COCC(=O)CC(C)(C)C,24
CCOCCCOCC,24
C#CCCCCCCCO,24
C=CCCCNCCC,24
C[C@H](CCO)CC(C)(C)C,24
OC/C=C/CCCCCO,24
CCCCCN(CC)N=O,24
CCCCOCCCO,24
C=C(C)CNC(C)(C)C,24
CCNCCNCCO,24
CCCCOCC=C(C)C,24
CCCCC/C(C)=N/C,24
O=CCCCCCCCO,24
COCOCCCCCO,24
CC[C@H](CO)N(CC)CC,24
NCCNCNCCN,24
C=C(CCCC)/C(C)=C/C,24
CCCCCCC(=O)OC,24
CCCCCCCOO,24
CCCCCC(C)(C)CN,24
CCCCOCCCCO,24
CCCCNC(=O)CNC,24
CN(C)CC(C)(C)C,24
CCOC(C)(C)OCC,24
CCCCN(C)CC,24
CCCCCCCON,24
CCCCC#CCCCO,24
C=C(COCC)COCC,24
NCCCNCCCO,24
CCCCCCNCCO,24
CCN(CC)C(=O)CNC,24
CCCC/C=C\[C@H](C)CC,24
CCCC(CCC)=NC,24
CCCCCCOC(C)=O,24
CCC/N=C(\CCC)NO,24
COCCCCCOC,24
CCCCCN(C)C,24
CCCCCC[C@H](C)CO,24
CCCCN(CC)C(C)=O,24
CCCCNC(=O)NCC,24
